country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
Afghanistan,Asadabad,131,unhealthy for sensitive groups,1,good,43,good,0,good,131,unhealthy for sensitive groups
France,Athis Mons,73,moderate,2,good,20,good,6,good,73,moderate
Nigeria,Azare,78,moderate,3,good,24,good,2,good,78,moderate
Russian Federation,Arti,36,good,1,good,28,good,0,good,36,good
Spain,San Sebastian De Los Reyes,61,moderate,1,good,17,good,6,good,61,moderate
Honduras,Santa Rosa De Copan,73,moderate,1,good,5,good,3,good,73,moderate
Cuba,Santiago De Las Vegas,74,moderate,1,good,26,good,2,good,74,moderate
United Republic of Tanzania,Songwa,36,good,0,good,15,good,0,good,36,good
Germany,Springe,37,good,1,good,37,good,1,good,24,good
Germany,Stendal,39,good,0,good,39,good,1,good,22,good
Romania,Suceava,67,moderate,1,good,43,good,0,good,67,moderate
United States of America,Suffern,50,good,1,good,44,good,3,good,50,good
India,Sunam,500,hazardous,1,good,47,good,0,good,452,hazardous
United States of America,Sunbury,41,good,1,good,41,good,3,good,41,good
Japan,Takaishi,43,good,1,good,39,good,3,good,43,good
Japan,Takanosu,35,good,1,good,35,good,0,good,11,good
Poland,Tarnow,61,moderate,1,good,27,good,2,good,61,moderate
Netherlands,Roosendaal,43,good,1,good,24,good,6,good,43,good
Cuba,Sagua De Tanamo,103,unhealthy for sensitive groups,1,good,24,good,2,good,103,unhealthy for sensitive groups
Venezuela (Bolivarian Republic of),San Antonio Del Tachira,51,moderate,1,good,12,good,3,good,51,moderate
Venezuela (Bolivarian Republic of),San Carlos Del Zulia,64,moderate,2,good,15,good,2,good,64,moderate
Italy,San Mauro Torinese,55,moderate,1,good,32,good,3,good,55,moderate
Brazil,Santa Isabel Do Para,54,moderate,1,good,11,good,2,good,54,moderate
Brazil,Sao Miguel,35,good,0,good,21,good,0,good,35,good
Brazil,Oliveira,31,good,1,good,23,good,0,good,31,good
India,Ratnagiri,74,moderate,1,good,23,good,2,good,74,moderate
United States of America,Rolling Meadows,56,moderate,1,good,28,good,5,good,56,moderate
Nigeria,Owo,63,moderate,2,good,31,good,0,good,63,moderate
Serbia,Pancevo,59,moderate,1,good,56,moderate,0,good,59,moderate
India,Patancheru,189,unhealthy,5,good,22,good,12,good,189,unhealthy
Russian Federation,Pavlovskaya,45,good,1,good,45,good,0,good,20,good
Bulgaria,Pazardzik,59,moderate,1,good,47,good,0,good,59,moderate
Malaysia,Pengkalan Kundang,162,unhealthy,5,good,12,good,23,good,162,unhealthy
Viet Nam,Phan Thiet,75,moderate,1,good,27,good,1,good,75,moderate
Thailand,Phan Thong,129,unhealthy for sensitive groups,3,good,3,good,13,good,129,unhealthy for sensitive groups
Brazil,Jaguarari,13,good,0,good,10,good,1,good,13,good
United States of America,Jennings,56,moderate,2,good,26,good,7,good,56,moderate
Italy,Jesi,57,moderate,1,good,39,good,4,good,57,moderate
Thailand,Kaset Sombun,34,good,1,good,22,good,0,good,34,good
Iran (Islamic Republic of),Gorgan,77,moderate,1,good,47,good,0,good,77,moderate
United Kingdom of Great Britain and Northern Ireland,Gosport,51,moderate,1,good,24,good,7,good,51,moderate
United States of America,Wentzville,70,moderate,1,good,27,good,7,good,70,moderate
Australia,Wodonga,25,good,0,good,25,good,0,good,11,good
Germany,Wuppertal,29,good,0,good,26,good,2,good,29,good
China,Xianyang,202,very unhealthy,4,good,202,very unhealthy,5,good,132,unhealthy for sensitive groups
Japan,Yasu,45,good,1,good,45,good,0,good,24,good
Australia,Yeppoon,23,good,0,good,23,good,3,good,11,good
